Time(min),0.1250%,0.0625%,0.0313%,0.0156%,0.0078%,0.0039%,0.0020%,0.0010%,0.0000%,0.125%std,0.0625%std,0.03125%std,0.01563%std,0.00781std,0.00391std,0.00195%std,0.00098%std,0%std
230,2743.688692,2611.567897,2387.700989,1990.783651,1444.801612,969.5994817,411.7443185,175.0046669,15.44516079,150.7921037,60.3572884,101.5529057,65.12852636,72.15602857,81.10564696,23.46343595,10.33251237,1.535958018
240,2836.333375,2702.550971,2489.78174,2068.811734,1499.541695,998.5098804,433.1404033,186.286079,15.89970683,150.4935755,59.61481009,99.55599265,70.45451789,73.41862837,81.09242578,23.17261338,10.04460753,1.290910397
250,2903.911592,2788.642047,2608.553994,2145.887477,1538.257027,1022.090462,450.1698298,197.2176633,16.88264168,136.168768,66.56795471,109.548455,71.61232405,73.52391329,80.89905381,24.68905455,11.07597873,1.622588489
260,3007.513164,2886.34178,2693.152151,2216.118438,1572.444604,1042.431026,467.3326388,206.8066841,17.65370408,152.4946379,65.92158203,123.549711,61.00898552,77.73568275,84.56402939,25.97140866,12.15238235,1.562160654
270,3096.895765,2980.446126,2794.579786,2277.353514,1606.240244,1060.394536,483.1505482,215.9610442,18.52263062,148.4460962,64.55150948,105.1424274,66.81946725,73.44800294,82.8003022,26.57452615,11.86406637,1.782198477
280,3170.52888,3064.515024,2872.217751,2305.166672,1621.274787,1068.826191,496.8037112,225.0955438,19.77467081,141.3245757,54.69070689,99.39299132,61.96167692,78.15925199,85.04972596,26.31539936,12.19091916,1.964684228
290,3242.626387,3131.337336,2922.853169,2337.353501,1630.291392,1083.620061,508.5555472,232.7303669,20.73157229,161.1974092,57.86807737,112.9832744,61.32811016,77.447447,84.21714014,28.94067171,13.02249354,1.944287688
300,3334.665309,3206.408756,2953.167205,2351.433018,1633.398796,1089.252975,519.9678529,240.5420001,21.48250474,156.1574513,49.40989644,130.8022103,75.45577631,87.85504105,86.61249443,30.9842898,14.07014399,1.835565119
310,3382.18765,3267.030793,3006.248406,2364.805986,1638.250518,1098.866591,532.3143885,248.8062569,22.33017343,190.1962803,43.63995801,112.2501265,79.55365747,88.65670338,88.71831973,30.88624203,14.9282489,1.949253296
320,3472.389836,3314.715661,3031.136325,2365.986758,1638.847051,1105.205529,541.6186352,254.9690579,23.53914964,174.6356117,56.37734126,132.0987198,98.21164066,89.38423711,89.15035301,32.64360417,15.82194637,1.875777378
330,3514.626902,3335.099426,3034.364108,2384.961331,1645.910566,1110.655992,551.3140778,261.4498803,24.34260673,193.1041293,88.71881875,143.048962,81.16073926,84.63799706,91.14408372,33.34233881,15.73999067,2.000849383
340,3554.035792,3372.897999,3065.714283,2389.073642,1642.569604,1115.783564,559.2986325,267.2187138,24.84231561,201.9745204,90.70261616,146.0369124,89.54923269,88.87356594,97.63060169,34.65499146,16.53010644,2.189502905
350,3592.932151,3404.537586,3080.511057,2385.010192,1642.467882,1123.778158,568.5727217,272.569603,25.41604736,206.0755556,97.47672569,164.1653883,85.98002956,94.67252774,94.839011,36.01683614,16.85374713,2.19435708
360,3633.520663,3395.88006,3119.099963,2401.803495,1636.578351,1130.010454,578.1493179,277.8287903,26.39158783,206.0461208,106.9667065,142.7403961,74.98738273,95.61333357,97.04360605,34.83609544,18.31187984,2.363832555
370,3663.633014,3423.548752,3134.002402,2394.673576,1636.439773,1142.570709,586.414804,282.8324117,27.02720313,211.5339881,122.2625392,130.4425511,75.84592247,99.25935752,103.1385172,35.28257387,19.71019781,2.233219249
380,3699.714528,3468.954714,3148.319871,2394.697963,1634.887554,1143.994764,592.3414507,286.7166646,27.51993409,205.1210941,100.4312595,146.6592646,86.03623526,96.86372532,103.4452742,37.18179833,20.48777798,2.437845123
390,3754.419125,3521.73142,3163.655929,2394.765875,1643.027646,1157.970415,602.4787641,292.0019722,28.44719531,177.6645663,81.00760636,138.4528378,89.71556347,94.09154653,105.0526951,37.00747781,20.49162642,2.5160515
400,3777.134203,3530.065877,3181.701841,2390.143986,1643.17463,1169.961391,607.5274516,295.5935056,29.2780527,193.1486157,84.55225198,143.3869723,77.71607462,102.8671082,108.9808391,37.28947321,22.93791484,2.627061411
410,3811.822957,3580.159909,3193.979808,2379.966446,1647.030188,1178.981566,614.765637,302.8628272,30.20671348,189.435666,65.74551788,156.065942,82.60611668,101.5167193,106.6053183,37.89274253,25.28170988,2.671453647
420,3841.982793,3607.421005,3195.804782,2378.049648,1648.612047,1190.829736,620.071651,310.1896717,30.86073723,193.7831986,67.23054937,155.9969692,83.36171307,102.4468102,109.9255605,37.59219431,25.99234655,3.288500682
430,3849.599632,3594.344449,3192.656307,2365.521869,1645.067325,1193.492652,627.1576443,314.6539872,31.42807063,198.0598207,89.61986483,170.2519353,79.51723833,106.3505368,105.2676788,42.79750742,27.28343191,3.461809512
440,3885.290903,3640.215785,3224.504188,2351.887897,1650.92298,1218.473397,641.1627869,321.053795,32.48277633,205.9772577,74.42107656,166.4473219,95.94408435,111.6209964,116.1991867,42.16171467,27.99010294,3.237670513
450,3914.176251,3661.336206,3234.233165,2345.041319,1658.112421,1236.26503,649.238694,326.1619753,33.25513234,197.9681083,70.61445156,163.8321957,98.42530692,102.0863127,113.4734528,42.6053061,28.54091966,3.924204069
460,3937.739837,3671.991279,3240.462206,2347.19565,1668.203993,1249.236242,657.4302124,331.676491,34.29781772,205.7547374,77.7906139,159.5870697,90.74066631,104.3269488,114.6540612,44.12891157,30.55301116,3.919427336
470,3965.208123,3694.326787,3235.357359,2340.864288,1671.128785,1264.417167,664.6989483,337.8742279,35.13357462,209.4246426,84.65980311,155.5847735,94.12254441,105.3588097,117.6345865,44.52584894,32.68680755,4.011021638
480,3987.019631,3714.150223,3259.075288,2344.395637,1680.41782,1279.071611,671.9303487,345.1814436,35.80315264,205.3351674,79.51186013,156.6701117,93.11370985,103.9756437,119.4802264,46.65463255,34.07137778,4.368294038
